dessert_name,dessert_type,dessert_density,dessert_sweetness,dessert_tartness,time_eaten,ranking,chocolate,white_chocolate,m_and_ms,pretzels,caramel,banana,strawberry,blueberry,cherry,orange,lemon,diff_fruit,time
10,4,0,4,0,1,10,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:25:25
97,0,2,4,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:26:15
2,0,0,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:30:02
100,4,1,3,0,2,10,1,0,0,1,0,0,0,0,0,0,0,0,3/29/2024 12:30:40
53,4,3,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:32:05
66,4,3,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:33:04
96,4,0,3,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:34:48
11,6,1,4,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 13:01:08
67,7,2,3,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:02:12
67,7,3,3,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:02:59
121,0,4,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:10:05
45,1,2,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:23:54
82,5,3,4,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:25:09
10,4,0,1,0,2,6,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 13:40:03
29,5,3,3,0,2,10,1,0,0,0,0,0,0,0,0,1,0,0,3/29/2024 13:40:52
96,4,3,4,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:43:57
67,7,2,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:47:43
67,7,2,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:48:31
113,7,3,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:49:14
68,7,1,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:49:38
113,7,2,3,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:50:01
18,1,3,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:50:09
70,6,2,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:50:10
70,6,2,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:50:40
118,0,0,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:50:43
95,7,4,3,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:50:45
72,5,3,4,0,2,9,1,0,1,0,0,0,0,0,0,0,0,0,3/29/2024 13:51:11
30,7,1,3,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,3/29/2024 13:51:55
67,7,2,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 13:51:58
66,4,1,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 13:53:55
10,4,3,3,1,2,10,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 13:55:39
73,4,3,3,2,2,8,1,0,1,0,0,0,0,0,0,0,0,0,3/29/2024 14:00:15
132,6,3,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 14:07:15
126,4,2,2,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 14:08:30
123,0,3,3,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:03:20
16,7,3,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:04:02
6,7,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:04:42
35,4,2,2,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:05:32
59,7,4,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:06:10
33,5,2,2,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:26:34
34,5,2,2,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:27:10
95,7,3,4,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 15:39:37
96,4,2,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 16:13:19
66,4,2,3,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 16:13:55
100,4,3,3,0,2,9,1,0,0,1,0,0,0,0,0,0,0,0,3/29/2024 16:14:24
113,7,3,3,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 16:44:14
123,0,1,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 16:45:17
8,7,2,2,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 17:13:30
10,4,3,3,0,1,10,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 17:27:30
16,7,3,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 18:12:02
67,7,3,3,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 18:54:14
121,0,4,3,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 18:55:40
100,4,2,3,0,2,9,1,0,0,1,0,0,0,0,0,0,0,1,3/29/2024 18:56:19
15,4,1,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 19:12:55
61,7,3,2,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,3/29/2024 19:29:27
131,7,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 19:34:58
39,5,3,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:23:55
8,7,3,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 20:28:10
15,4,2,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:28:58
27,5,3,3,1,1,9,1,0,0,0,0,0,0,0,0,1,0,0,3/29/2024 20:29:49
60,7,4,3,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:30:34
131,7,3,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3/29/2024 20:31:19
97,0,4,4,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:32:11
125,2,3,4,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:33:17
100,4,1,4,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,3/29/2024 20:33:56
29,7,2,4,0,1,9,1,0,0,0,0,1,0,0,0,1,0,0,3/29/2024 20:35:24
57,7,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:39:01
102,0,3,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 20:41:46
64,7,3,3,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,3/29/2024 22:46:42
105,4,2,2,0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,3/29/2024 22:47:36
40,4,3,3,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 22:50:47
131,0,2,3,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3/30/2024 9:21:34
121,7,1,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/30/2024 13:19:47
131,7,3,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3/30/2024 13:20:37
100,4,2,3,0,1,8,1,0,0,1,0,0,0,0,0,0,0,0,3/30/2024 14:15:15
16,7,4,4,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3/30/2024 16:35:28
24,4,2,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 1:14:55
69,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3/31/2024 11:33:23
38,4,1,4,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,3/31/2024 11:34:10
112,7,3,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 12:06:52
24,4,1,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 12:07:36
72,5,3,3,0,2,8,1,0,1,0,0,0,0,0,0,0,0,0,3/31/2024 17:30:39
25,5,3,4,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 17:57:49
113,5,4,3,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 21:02:15
112,7,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2024 21:03:17
97,0,3,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2024 10:07:21
88,0,3,2,1,2,7,0,0,0,0,0,0,1,1,0,0,0,0,4/1/2024 10:27:42
119,4,2,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2024 10:29:04
119,4,2,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2024 20:35:38
20,1,1,3,1,1,8,1,0,0,0,1,0,1,0,0,1,0,0,4/2/2024 13:48:41
67,7,3,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,4/2/2024 19:40:15
15,4,1,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4/2/2024 21:45:10
13,1,2,2,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,4/2/2024 21:45:53
113,5,3,4,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,4/3/2024 20:42:05
15,4,1,4,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2024 9:19:54
8,7,3,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,4/9/2024 15:23:48
61,7,2,3,1,2,10,0,0,0,0,0,1,0,0,0,0,0,0,4/10/2024 22:18:09
79,2,1,3,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,4/13/2024 13:52:36
10,4,1,3,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,4/14/2024 14:58:38
2,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,4/25/2024 12:54:13
2,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,4/25/2024 13:57:27
